Mineral_Commodity,Pch_Consumption_2024_2025,CM_List_2025
Asbestos,-57,N
Gemstones,-47,N
Yttrium,-40,Y
Arsenic,-34,Y
Gold,-29,N
"Diamond (bort, grit, dust, and powder)",-19,N
Abrasives (metallic),-18,N
Abrasives (silicon carbide),-16,N
Magnesium metal,-13,Y
Pumice and pumicite,-12,N
Perlite,-9,N
Feldspar,-8,N
Abrasives (aluminum oxide),-8,N
Phosphate rock,-7,Y
Diamond (stones),-7,N
Fluorspar,-5,Y
Potash,-5,Y
Manganese,-4,Y
Sulfur,-3,N
Iodine,-3,N
Mica (scrap and flake),-3,N
Sand and gravel (industrial),-2,N
Sand and gravel (construction),-2,N
Aluminum,-2,Y
Gypsum,-2,N
Cement,0,N
Helium,0,N
Indium,0,Y
Iron and steel slag,0,N
Krypton,0,N
Lime,0,N
Stone (crushed),0,N
Stone (dimension),0,N
Vermiculite,0,N
Xenon,0,N
Iron ore,1,N
Clays,1,N
Diatomite,1,N
Zinc,1,Y
Gallium,2,Y
Neon,2,N
Vanadium,2,Y
Iron and steel scrap,4,N
Bauxite,4,N
Nitrogen (fixed)—ammonia,4,N
Nickel,4,Y
Iron and steel,4,N
Kyanite,4,N
Zeolites (natural),4,N
Beryllium,5,Y
Argon,6,N
Iron oxide pigments,6,N
Niobium (columbium),6,Y
Lead,6,Y
Soda ash,8,N
Chromium,9,Y
Graphite (natural),9,Y
Peat,10,N
Titanium dioxide,10,Y
Titanium sponge metal,11,Y
Salt,11,N
Titanium mineral concentrates,13,Y
Talc and pyrophyllite,15,N
Mica (sheet),15,N
Magnesium compounds,18,Y
Copper,18,Y
Molybdenum,19,N
Bismuth,20,Y
Cobalt,21,Y
Tin,24,Y
Alumina,32,N
Garnet (industrial),32,N
Rhenium,32,Y
Platinum,34,Y
Silver,49,Y
Palladium,56,Y
Tantalum,57,Y
Antimony,57,Y
Thallium,100,N
Rare earths,200,Y
Strontium,229,N
