MAE,RMSE,WAPE,SMAPE,R2,coverage_pct,mean_interval_width,p50_wape,alpha_mean,alpha_std,Seed,Variant
10.767106056213379,28.127464294433594,93.25133562088013,141.9458270072937,0.10881352424621582,79.26829268292683,23.990713,41.97619188944351,1.0,0.0,42,TFT-only
9.953852653503418,26.072582244873047,86.2079381942749,132.5332760810852,0.23427033424377441,79.26829268292683,23.990713,41.97619188944351,0.0,0.0,42,GAT-only
10.620466232299805,27.7650089263916,91.98131561279297,139.6557331085205,0.13163357973098755,79.26829268292683,23.990713,41.97619188944351,0.5,0.0,42,Fixed Fusion
6.172783374786377,16.76226234436035,53.46100330352783,123.8815188407898,0.6835007667541504,79.26829268292683,23.990713,41.97619188944351,0.9320551753044128,0.012697944417595863,42,Adaptive Fusion (Ours)
10.431403160095215,26.598661422729492,90.3438925743103,138.31220865249634,0.20305758714675903,88.24833702882484,23.01792,43.658322564396265,1.0,0.0,123,TFT-only
8.531941413879395,22.230905532836914,73.89311194419861,127.777099609375,0.4432993531227112,88.24833702882484,23.01792,43.658322564396265,0.0,0.0,123,GAT-only
9.00033950805664,23.353559494018555,77.94979214668274,130.96485137939453,0.3856532573699951,88.24833702882484,23.01792,43.658322564396265,0.5,0.0,123,Fixed Fusion
6.488041400909424,17.4145565032959,56.1913788318634,124.49530363082886,0.6583887338638306,88.24833702882484,23.01792,43.658322564396265,0.9182342290878296,0.027159547433257103,123,Adaptive Fusion (Ours)
12.057951927185059,30.643999099731445,104.4310450553894,144.36602592468262,-0.05778706073760986,92.46119733924611,22.751343,46.63349229363812,1.0,0.0,456,TFT-only
9.397428512573242,24.347286224365234,81.38888478279114,134.7676157951355,0.33225828409194946,92.46119733924611,22.751343,46.63349229363812,0.0,0.0,456,GAT-only
10.807598114013672,28.531190872192383,93.60201954841614,136.41875982284546,0.0830467939376831,92.46119733924611,22.751343,46.63349229363812,0.5,0.0,456,Fixed Fusion
6.348063945770264,17.047161102294922,54.9790620803833,124.10769462585449,0.6726506352424622,92.46119733924611,22.751343,46.63349229363812,0.9186925292015076,0.0189657025039196,456,Adaptive Fusion (Ours)
9.625328063964844,25.181486129760742,83.36266875267029,135.02881526947021,0.28571730852127075,84.3680709534368,19.724575,41.970405819902865,1.0,0.0,789,TFT-only
8.56702995300293,22.304201126098633,74.19700026512146,127.87206172943115,0.4396224021911621,84.3680709534368,19.724575,41.970405819902865,0.0,0.0,789,GAT-only
9.37846851348877,24.595155715942383,81.22467994689941,133.62687826156616,0.3185930848121643,84.3680709534368,19.724575,41.970405819902865,0.5,0.0,789,Fixed Fusion
6.120133876800537,16.143428802490234,53.00501585006714,124.36540126800537,0.7064386010169983,84.3680709534368,19.724575,41.970405819902865,0.9054713845252991,0.02758556418120861,789,Adaptive Fusion (Ours)
9.442134857177734,24.821617126464844,81.77607655525208,132.31709003448486,0.3059871196746826,78.38137472283813,25.699564,38.47285158015571,1.0,0.0,1337,TFT-only
9.022446632385254,23.3530216217041,78.14125418663025,136.02070808410645,0.3856815695762634,78.38137472283813,25.699564,38.47285158015571,0.0,0.0,1337,GAT-only
9.082204818725586,23.582223892211914,78.65880131721497,133.45460891723633,0.3735637664794922,78.38137472283813,25.699564,38.47285158015571,0.5,0.0,1337,Fixed Fusion
6.661084175109863,17.758207321166992,57.69006013870239,125.12390613555908,0.6447732448577881,78.38137472283813,25.699564,38.47285158015571,0.9218931198120117,0.016711320728063583,1337,Adaptive Fusion (Ours)
