2,32
2,94
3,10
3,13
3,20
3,32
3,35
3,36
3,44
3,56
3,74
3,97
3,105
3,124
5,20
5,56
5,124
10,13
10,20
10,32
10,35
10,36
10,44
10,56
10,74
10,97
10,105
10,116
10,124
11,58
13,20
13,32
13,35
13,36
13,44
13,56
13,70
13,74
13,97
13,105
13,124
16,58
16,88
19,20
19,70
20,32
20,35
20,36
20,44
20,56
20,65
20,70
20,74
20,78
20,86
20,95
20,97
20,102
20,105
20,107
20,124
32,35
32,36
32,44
32,56
32,74
32,97
32,105
32,124
35,36
35,44
35,56
35,74
35,97
35,105
35,124
36,44
36,56
36,63
36,74
36,97
36,105
36,124
41,125
44,56
44,74
44,97
44,105
44,111
44,124
47,78
56,74
56,95
56,97
56,105
56,107
56,116
56,124
58,88
63,124
65,86
70,74
70,78
70,94
70,124
73,78
74,78
74,87
74,97
74,105
74,124
78,87
78,89
84,94
84,122
95,124
97,105
97,124
105,124
107,124
116,124
