2,10
2,14
2,17
2,19
2,20
2,36
2,40
2,56
2,57
2,65
2,66
2,70
2,84
2,96
2,97
2,104
2,116
10,17
10,19
10,56
10,65
10,66
10,70
10,84
10,104
10,116
11,12
11,14
11,17
11,19
11,20
11,36
11,65
11,66
11,70
11,116
11,124
12,14
12,17
12,19
12,20
12,36
12,65
12,66
12,70
14,17
14,19
14,20
14,25
14,36
14,40
14,42
14,46
14,51
14,56
14,57
14,65
14,66
14,70
14,74
14,80
14,90
14,96
14,97
14,98
14,104
14,116
14,124
17,19
17,20
17,25
17,30
17,36
17,40
17,42
17,46
17,51
17,56
17,57
17,58
17,62
17,65
17,66
17,70
17,74
17,78
17,80
17,84
17,86
17,90
17,96
17,97
17,98
17,104
17,116
17,124
17,125
19,20
19,25
19,30
19,36
19,40
19,42
19,46
19,51
19,56
19,57
19,58
19,62
19,65
19,66
19,70
19,74
19,78
19,80
19,84
19,86
19,90
19,96
19,97
19,98
19,102
19,104
19,116
19,124
19,125
20,25
20,30
20,36
20,40
20,56
20,57
20,58
20,62
20,65
20,66
20,70
20,74
20,78
20,80
20,84
20,86
20,90
20,96
20,97
20,102
20,104
20,116
20,124
20,125
25,36
25,66
25,70
25,97
25,104
25,116
30,36
30,58
30,62
30,66
30,70
30,78
30,84
30,86
30,104
30,116
30,125
36,40
36,56
36,57
36,58
36,62
36,65
36,66
36,70
36,78
36,84
36,86
36,90
36,97
36,104
36,116
36,124
36,125
40,42
40,57
40,65
40,66
40,70
40,90
40,97
40,104
40,116
42,57
42,65
42,66
42,70
42,90
42,98
42,116
46,57
46,66
46,90
51,57
51,65
51,66
51,70
51,90
51,104
56,57
56,65
56,66
56,70
56,74
56,84
56,97
56,104
56,116
56,124
57,65
57,66
57,70
57,74
57,90
57,97
57,98
57,102
57,104
57,116
57,124
58,62
58,66
58,70
58,78
58,84
58,86
58,104
58,116
58,125
62,66
62,70
62,78
62,84
62,86
62,104
62,116
62,125
65,66
65,70
65,74
65,84
65,90
65,96
65,97
65,98
65,102
65,104
65,116
65,124
66,70
66,74
66,78
66,80
66,84
66,86
66,90
66,96
66,97
66,98
66,102
66,104
66,116
66,124
66,125
70,78
70,84
70,86
70,96
70,97
70,98
70,102
70,104
70,116
70,124
70,125
74,104
78,84
78,86
78,104
78,116
78,125
80,90
80,104
80,116
80,124
84,86
84,97
84,104
84,116
84,125
86,104
86,116
86,125
90,104
90,116
90,124
96,97
96,104
96,116
97,102
97,104
97,116
97,124
98,116
102,104
102,116
104,116
104,124
104,125
116,124
116,125
