3,5
3,7
3,10
3,16
3,30
3,32
3,35
3,44
3,62
3,65
3,84
3,88
3,94
3,96
3,116
3,117
3,122
5,7
5,10
5,16
5,30
5,32
5,35
5,44
5,62
5,65
5,84
5,88
5,94
5,96
5,116
5,117
5,122
7,10
7,16
7,30
7,32
7,35
7,44
7,62
7,65
7,84
7,88
7,94
7,96
7,116
7,117
7,122
10,16
10,30
10,32
10,35
10,44
10,62
10,65
10,84
10,88
10,94
10,96
10,116
10,117
10,122
16,30
16,32
16,35
16,44
16,62
16,65
16,84
16,88
16,94
16,96
16,116
16,117
16,122
17,47
17,62
17,74
17,78
17,87
17,89
17,117
19,104
20,46
20,58
20,86
30,32
30,35
30,44
30,62
30,65
30,84
30,88
30,94
30,96
30,116
30,117
30,122
32,35
32,44
32,62
32,65
32,84
32,88
32,94
32,96
32,116
32,117
32,122
35,44
35,62
35,65
35,84
35,88
35,94
35,96
35,116
35,117
35,122
44,62
44,65
44,84
44,88
44,94
44,96
44,116
44,117
44,122
46,58
46,86
47,62
47,74
47,78
47,87
47,89
47,117
58,86
62,65
62,74
62,78
62,84
62,87
62,88
62,89
62,94
62,96
62,116
62,117
62,122
65,84
65,88
65,94
65,96
65,116
65,117
65,122
70,74
70,78
74,78
74,87
74,89
74,117
78,87
78,89
78,117
84,88
84,94
84,96
84,116
84,117
84,122
87,89
87,117
88,94
88,96
88,116
88,117
88,122
89,117
94,96
94,116
94,117
94,122
96,116
96,117
96,122
116,117
116,122
117,122
