Year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126
2024,0.0,13516.47619047619,10402.0,14874.375,0.0,17862.85714285714,379698.0,1330.75,57077.333333333336,108.25,4071.25,399.375,125714.28571428571,2683.4117647058824,485625.0,0.0,0.0,11023.333333333334,4290.264705882353,43113.57142857143,2890.885714285714,0.0,9.5,0.0,316.0625,0.0,0.0,0.0,0.0,4144.933333333333,1472.142857142857,0.0,424000.0,183387.5,9798.5,0.0,437.06666666666666,0.0,163194.0,0.0,15442.857142857143,0.0,45.875,0.0,242.33333333333334,0.0,8355.625,0.0,239.2346153846154,0.0,0.0,221130.0,533857.1428571428,74.5,60218.333333333336,0.0,657.1428571428571,35104.166666666664,44497.0,0.0,3016.0714285714284,270.5,3741.6,70.66666666666667,54124.28571428572,31985.625,0.0,533.3333333333334,0.0,0.0,674180.9090909091,28068.0,13002.083333333334,0.0,61981.42857142857,2571.6428571428573,565.375,18393.0,51138.57142857143,0.0,6673.857142857143,0.0,2246.1111111111113,0.0,54571.42857142857,0.0,17734.444444444445,0.0,0.0,0.0,21988.0,0.0,880.0,39477.72727272727,0.0,431.8235294117647,693.9655172413793,3165.125,19947.625,1500.0,2300.0,133283.33333333334,8797.368421052632,900.0,416.6666666666667,218.0,0.0,0.0,0.0,0.0,0.0,36796.875,0.0,1262.0869565217392,108471.42857142857,0.0,13634.166666666666,47248.0,78.33333333333333,286000.0,8.033333333333333,0.0,0.0,177337.14285714287,1986.1666666666667,235.45454545454547,0.0
2025,0.0,14300.0,10586.42857142857,13795.0,0.0,20250.0,384000.0,1450.0,58730.666666666664,107.75,4035.0,365.0,123285.71428571429,2715.294117647059,475125.0,0.0,0.0,11322.222222222223,4360.0,44614.28571428572,2970.942857142857,0.0,9.5,0.0,314.9375,0.0,0.0,0.0,0.0,4140.0,1445.357142857143,0.0,452250.0,208271.42857142858,9861.42857142857,0.0,436.6666666666667,0.0,186993.68421052632,0.0,15214.285714285714,0.0,46.875,0.0,243.44444444444446,0.0,8471.0,0.0,240.80769230769232,0.0,0.0,221205.26315789475,549428.5714285715,73.83333333333333,58750.0,0.0,641.4285714285714,35066.666666666664,57838.0,0.0,2986.0714285714284,272.875,4014.0,70.33333333333333,50121.42857142857,32493.75,0.0,536.6666666666666,0.0,0.0,707727.2727272727,27953.75,13179.166666666666,0.0,54871.42857142857,2428.5714285714284,573.75,19063.46153846154,48385.71428571428,0.0,6978.571428571428,0.0,2224.4444444444443,0.0,55665.0,0.0,18000.0,0.0,0.0,0.0,21644.0,0.0,870.0,38881.818181818184,80.0,449.70588235294116,660.6206896551724,3245.625,20072.25,1500.0,2300.0,150116.66666666666,8835.263157894737,862.5,415.4166666666667,225.33333333333334,0.0,0.0,0.0,0.0,0.0,36318.75,0.0,1339.6363636363637,105185.71428571429,0.0,13087.692307692309,44660.0,76.91666666666667,286833.3333333333,8.033333333333333,0.0,0.0,183681.42857142858,2128.3333333333335,222.0909090909091,0.0
