2,9
2,11
2,19
2,20
2,32
2,35
2,36
2,65
2,66
2,70
2,96
2,97
2,104
2,111
2,116
3,5
3,10
9,11
9,19
9,20
9,66
9,70
9,96
9,104
9,111
10,56
11,19
11,20
11,25
11,66
11,70
11,84
11,96
11,97
11,101
11,104
11,111
12,46
13,17
13,19
13,20
13,44
13,58
13,63
13,65
13,66
13,70
13,104
13,116
13,124
16,88
17,19
17,20
17,36
17,58
17,62
17,65
17,66
17,70
17,84
17,97
17,104
17,116
17,124
19,20
19,25
19,32
19,35
19,36
19,44
19,47
19,58
19,62
19,63
19,65
19,66
19,70
19,78
19,84
19,86
19,87
19,89
19,96
19,97
19,101
19,104
19,111
19,116
19,117
19,124
20,36
20,44
20,47
20,58
20,63
20,65
20,66
20,70
20,78
20,86
20,87
20,89
20,96
20,97
20,104
20,111
20,116
20,124
25,66
25,70
25,84
25,97
25,101
32,35
32,66
32,70
32,96
35,44
35,66
35,70
35,96
36,62
36,65
36,66
36,70
36,84
36,97
36,104
36,116
41,125
44,58
44,63
44,66
44,70
44,104
44,111
44,124
47,65
47,66
47,70
47,78
47,86
47,87
47,89
47,104
47,116
56,111
58,63
58,65
58,66
58,70
58,80
58,84
58,97
58,104
58,116
58,124
62,65
62,66
62,70
62,84
62,104
62,116
62,117
63,66
63,70
63,97
63,104
63,124
65,66
65,70
65,78
65,84
65,86
65,87
65,89
65,97
65,104
65,116
65,117
65,124
66,70
66,78
66,84
66,86
66,87
66,89
66,91
66,96
66,97
66,101
66,104
66,111
66,116
66,117
66,124
70,78
70,84
70,86
70,87
70,89
70,94
70,96
70,97
70,101
70,104
70,111
70,116
70,117
70,124
74,78
74,87
78,86
78,87
78,89
78,104
78,116
84,97
84,101
84,104
84,116
84,117
86,87
86,89
86,104
86,116
87,89
87,104
87,116
89,104
89,116
95,105
96,104
96,111
97,101
97,104
97,111
97,116
97,124
104,111
104,116
104,117
104,124
116,117
116,124
9,2
11,2
19,2
20,2
32,2
35,2
36,2
65,2
66,2
70,2
96,2
97,2
104,2
111,2
116,2
5,3
10,3
11,9
19,9
20,9
66,9
70,9
96,9
104,9
111,9
56,10
19,11
20,11
25,11
66,11
70,11
84,11
96,11
97,11
101,11
104,11
111,11
46,12
17,13
19,13
20,13
44,13
58,13
63,13
65,13
66,13
70,13
104,13
116,13
124,13
88,16
19,17
20,17
36,17
58,17
62,17
65,17
66,17
70,17
84,17
97,17
104,17
116,17
124,17
20,19
25,19
32,19
35,19
36,19
44,19
47,19
58,19
62,19
63,19
65,19
66,19
70,19
78,19
84,19
86,19
87,19
89,19
96,19
97,19
101,19
104,19
111,19
116,19
117,19
124,19
36,20
44,20
47,20
58,20
63,20
65,20
66,20
70,20
78,20
86,20
87,20
89,20
96,20
97,20
104,20
111,20
116,20
124,20
66,25
70,25
84,25
97,25
101,25
35,32
66,32
70,32
96,32
44,35
66,35
70,35
96,35
62,36
65,36
66,36
70,36
84,36
97,36
104,36
116,36
125,41
58,44
63,44
66,44
70,44
104,44
111,44
124,44
65,47
66,47
70,47
78,47
86,47
87,47
89,47
104,47
116,47
111,56
63,58
65,58
66,58
70,58
80,58
84,58
97,58
104,58
116,58
124,58
65,62
66,62
70,62
84,62
104,62
116,62
117,62
66,63
70,63
97,63
104,63
124,63
66,65
70,65
78,65
84,65
86,65
87,65
89,65
97,65
104,65
116,65
117,65
124,65
70,66
78,66
84,66
86,66
87,66
89,66
91,66
96,66
97,66
101,66
104,66
111,66
116,66
117,66
124,66
78,70
84,70
86,70
87,70
89,70
94,70
96,70
97,70
101,70
104,70
111,70
116,70
117,70
124,70
78,74
87,74
86,78
87,78
89,78
104,78
116,78
97,84
101,84
104,84
116,84
117,84
87,86
89,86
104,86
116,86
89,87
104,87
116,87
104,89
116,89
105,95
104,96
111,96
101,97
104,97
111,97
116,97
124,97
111,104
116,104
117,104
124,104
117,116
124,116
