2,9
2,17
2,19
2,62
2,70
2,116
3,5
3,10
3,16
3,32
3,35
3,44
3,88
3,96
3,105
3,111
5,10
5,16
5,32
5,35
5,44
5,88
5,96
5,105
5,111
9,17
9,19
9,62
9,70
9,116
10,16
10,32
10,35
10,44
10,88
10,96
10,105
10,111
15,25
15,26
15,27
15,31
15,43
15,55
15,59
15,66
15,81
15,91
15,94
15,106
15,121
15,122
16,32
16,35
16,44
16,88
16,96
16,105
16,111
17,19
17,62
17,70
17,116
19,58
19,62
19,70
19,96
19,105
19,111
19,116
19,117
20,56
20,70
20,78
20,80
20,86
20,96
20,97
20,124
25,26
25,27
25,31
25,43
25,55
25,59
25,66
25,81
25,91
25,94
25,106
25,121
25,122
26,27
26,31
26,43
26,55
26,59
26,66
26,81
26,91
26,94
26,106
26,121
26,122
27,31
27,43
27,55
27,59
27,66
27,81
27,91
27,94
27,106
27,121
27,122
31,43
31,55
31,59
31,66
31,81
31,91
31,94
31,106
31,121
31,122
32,35
32,44
32,88
32,96
32,105
32,111
35,44
35,88
35,96
35,105
35,111
41,104
41,116
41,117
41,125
43,55
43,59
43,66
43,81
43,91
43,94
43,106
43,121
43,122
44,88
44,96
44,105
44,111
47,74
47,78
47,87
47,89
55,59
55,66
55,81
55,91
55,94
55,106
55,121
55,122
56,80
56,86
56,96
56,97
58,62
58,70
58,96
58,105
58,111
58,117
59,66
59,81
59,91
59,94
59,106
59,121
59,122
62,70
62,96
62,105
62,111
62,116
62,117
66,81
66,91
66,94
66,106
66,121
66,122
70,78
70,96
70,105
70,111
70,116
70,117
74,78
74,87
74,89
78,87
78,89
80,86
80,96
80,97
81,91
81,94
81,106
81,121
81,122
86,96
86,97
87,89
88,96
88,105
88,111
91,94
91,106
91,121
91,122
94,106
94,121
94,122
96,97
96,105
96,111
96,117
104,116
104,117
104,125
105,111
105,117
106,121
106,122
111,117
116,117
116,125
117,125
121,122
