source_id,target_id,edge_type_id,edge_weight
2,9,2,0.9
2,10,2,0.9
2,11,2,0.9
2,17,2,0.9
2,19,2,0.9
2,20,2,0.9
2,36,2,0.9
2,56,2,0.9
2,62,2,0.9
2,65,2,0.9
2,66,2,0.9
2,70,2,0.9
2,78,2,0.9
2,84,2,0.9
2,90,2,0.9
2,96,2,0.9
2,97,2,0.9
2,104,2,0.9
2,111,2,0.9
2,116,2,0.9
2,124,2,0.9
2,125,2,0.9
3,56,2,0.9
3,111,2,0.7
9,11,2,0.9
9,19,2,0.9
9,20,2,0.9
9,66,2,0.9
9,70,2,0.9
9,96,2,0.9
9,104,2,0.9
9,111,2,0.9
10,15,2,0.9
10,17,2,0.9
10,19,2,0.9
10,56,2,0.9
10,65,2,0.9
10,66,2,0.9
10,70,2,0.9
10,84,2,0.9
10,104,2,0.9
10,105,2,0.9
10,116,2,0.9
11,13,2,0.9
11,17,2,0.9
11,19,2,0.9
11,20,2,0.9
11,25,2,0.9
11,36,2,0.9
11,41,2,0.9
11,44,2,0.9
11,65,2,0.9
11,66,2,0.9
11,70,2,0.9
11,81,2,0.9
11,84,2,0.9
11,96,2,0.9
11,97,2,0.9
11,104,2,0.9
11,106,2,0.9
11,111,2,0.9
11,116,2,0.9
11,117,2,0.9
11,125,2,0.9
13,19,2,0.9
13,41,2,0.9
13,44,2,0.9
13,66,2,0.9
13,70,2,0.9
13,97,2,0.9
13,104,2,0.9
13,116,2,0.9
13,125,2,0.9
15,19,2,0.9
15,55,2,0.9
15,56,2,0.9
15,66,2,0.9
15,70,2,0.9
15,84,2,0.9
15,97,2,0.9
15,104,2,0.9
15,105,2,0.9
15,108,2,0.9
15,116,2,0.9
15,122,2,0.9
15,125,2,0.9
16,17,2,0.9
16,66,2,0.9
16,70,2,0.9
16,104,2,0.9
17,19,2,0.9
17,20,2,0.9
17,25,2,0.9
17,36,2,0.9
17,41,2,0.9
17,56,2,0.9
17,62,2,0.9
17,65,2,0.9
17,66,2,0.9
17,70,2,0.9
17,84,2,0.9
17,86,2,0.9
17,90,2,0.9
17,97,2,0.9
17,104,2,0.9
17,116,2,0.9
17,117,2,0.9
17,125,2,0.9
19,20,2,0.9
19,25,2,0.9
19,36,2,0.9
19,41,2,0.9
19,44,2,0.9
19,47,2,0.9
19,55,2,0.9
19,56,2,0.9
19,62,2,0.9
19,65,2,0.9
19,66,2,0.9
